,lat,long,cluster
273,59.941415,30.366456300000007,109
274,60.05797729999999,30.3325837,56
275,60.0552037,30.3902412,65
276,60.0548768,30.3894396,65
277,60.01619720000001,30.4092925,109
278,60.051958,30.3829156,66
279,60.0017534,30.2740266,99
280,60.00233000000001,30.2737933,99
281,59.9555799,30.243711600000005,94
282,59.9318783,30.36025,203
283,59.93206,30.3212733,13
284,60.0308619,30.433799800000006,120
285,60.01175210000001,30.4009095,20
286,60.01605970000001,30.4091675,109
287,60.0318766,30.4282379,109
288,59.9113461,30.4447168,109
289,59.941415,30.366456300000007,109
290,59.9628715,30.2894103,67
291,59.9435934,30.324039600000006,93
292,59.97953117,30.45970193,76
293,59.95593936,30.48967066,68
294,60.010055,30.4093783,72
295,59.941415,30.366456300000007,109
296,59.9085166,30.450069899999995,69
297,60.0278616,30.4350016,64
298,59.9605916,30.452988300000005,70
299,59.941415,30.366456300000007,109
300,59.9817097,30.3561423,71
301,59.9863118,30.3569789,104
302,59.941415,30.366456300000007,109
303,59.9796563,30.4591656,76
304,59.941415,30.366456300000007,109
305,60.015977,30.4092168,109
306,60.0583623,30.3331713,29
307,60.016197,30.4092936,109
308,60.01003660000001,30.40917,72
309,60.027855,30.434890000000006,64
310,59.941415,30.366456300000007,109
311,60.0161323,30.409212100000005,109
312,59.941415,30.366456300000007,109
313,60.0162533,30.4092333,109
314,60.016165,30.4092966,109
315,59.941415,30.366456300000007,109
316,60.01639,30.409461600000004,109
317,59.941415,30.366456300000007,109
318,60.0159221,30.4092835,109
319,59.941415,30.366456300000007,109
320,60.0161186,30.409208000000003,109
321,59.941415,30.366456300000007,109
322,59.941415,30.366456300000007,109
323,59.9619853,30.4593071,73
324,60.0113266,30.4043866,74
325,59.941415,30.366456300000007,109
326,59.96465614,30.48592733,75
327,59.97948974,30.45857875,76
328,59.97959043,30.45920346,76
329,59.941415,30.366456300000007,109
330,59.95996785,30.43993951,77
331,59.941415,30.366456300000007,109
332,59.9403574,30.4548636,109
333,59.941415,30.366456300000007,109
334,59.941415,30.366456300000007,109
335,59.9320135,30.4417715,78
336,59.8916048,30.51229209,150
337,59.941415,30.366456300000007,109
338,59.8923536,30.4772765,79
339,59.89198760000001,30.513062400000006,150
